Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue
Nov,2,2,7,1,Returning_Visitor,False,26.0,2720.5,0.0,0.0,705.0,0.0,0.2,0.2,361.76373,1.0,True
Sep,2,2,1,20,Returning_Visitor,True,0.0,0.0,24.0,2252.0334,0.0,43171.234,0.0,0.0,361.76373,1.0,True
Mar,8,4,3,3,Returning_Visitor,True,26.0,0.0,0.0,2252.0334,0.0,43171.234,0.0,0.0,0.0,0.8,False
May,1,2,4,3,Returning_Visitor,True,26.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,False
Sep,8,10,7,2,Returning_Visitor,True,0.0,2720.5,0.0,2252.0334,0.0,43171.234,0.2,0.2,361.76373,0.0,False
Nov,2,3,1,1,Returning_Visitor,True,0.0,2720.5,0.0,0.0,0.0,43171.234,0.2,0.2,0.0,1.0,False
Sep,8,2,1,6,Returning_Visitor,True,26.0,2720.5,0.0,2252.0334,705.0,43171.234,0.14907809,0.0,0.0,0.0,False
May,8,1,3,1,Returning_Visitor,True,0.0,2720.5,0.0,0.0,0.0,43171.234,0.0,0.2,0.0,0.0,False
Dec,3,6,4,3,Returning_Visitor,True,26.0,0.0,24.0,0.0,705.0,43171.234,0.2,0.2,0.0,1.0,False
Nov,3,12,1,2,Returning_Visitor,True,0.0,0.0,0.0,0.0,705.0,43171.234,0.0,0.0,0.0,0.0,False
Oct,1,8,4,1,Returning_Visitor,False,26.0,0.0,24.0,2228.73,704.93085,0.0,0.2,0.0,0.0,0.0,False
Sep,8,4,5,2,Returning_Visitor,True,0.0,2720.5,0.0,0.0,705.0,43171.234,0.0,0.0,361.76373,0.0,False
May,2,2,3,8,Returning_Visitor,False,0.0,2720.5,0.0,0.0,0.0,0.0,0.2,0.2,361.76373,1.0,False
Nov,1,1,1,5,Returning_Visitor,True,26.0,2720.5,0.0,0.0,705.0,43171.234,0.2,0.0,361.76373,1.0,True
Nov,2,9,3,8,Returning_Visitor,False,25.98835,2720.5,24.0,2252.0334,0.0,0.0,0.0,0.0,0.0,1.0,False
Jul,2,2,3,1,New_Visitor,False,0.0,2720.5,24.0,2252.0334,705.0,43171.234,0.0,0.0,0.0,1.0,False
May,3,10,1,2,Returning_Visitor,False,26.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,False
Sep,8,2,1,1,Returning_Visitor,True,26.0,2720.5,24.0,0.0,705.0,43171.234,0.2,0.2,0.0,1.0,False
Sep,8,6,1,2,Returning_Visitor,True,26.0,2720.5,0.0,0.0,705.0,0.0,0.2,0.2,0.0,0.0,False
May,1,2,1,3,Returning_Visitor,False,26.0,2720.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,False
Sep,1,1,1,1,Returning_Visitor,True,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,361.76373,0.0,True
Sep,3,1,9,9,Returning_Visitor,True,26.0,2720.5,24.0,0.0,388.55704,0.0,0.2,0.2,361.76373,1.0,False
June,1,4,4,1,Returning_Visitor,False,0.0,0.0,24.0,2252.0334,0.0,0.0,0.2,0.2,361.76373,0.0,False
Dec,8,10,1,19,Returning_Visitor,True,26.0,2720.5,24.0,0.0,705.0,43171.234,0.0,0.2,361.76373,1.0,False
May,8,2,1,3,Returning_Visitor,False,0.0,0.0,24.0,2252.0334,0.0,43171.234,0.2,0.2,361.76373,0.0,True
May,2,8,1,1,Returning_Visitor,True,0.0,0.0,24.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,False
Mar,2,10,6,4,Returning_Visitor,False,26.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,False
Oct,8,9,6,9,New_Visitor,True,26.0,2720.5,24.0,2252.0334,705.0,0.0,0.2,0.0,0.0,1.0,False
May,2,2,3,2,Returning_Visitor,False,26.0,2720.5,0.0,2252.0334,1.0,43171.234,0.2,0.2,0.0,0.0,False
Oct,1,4,3,2,New_Visitor,True,26.0,2720.5,24.0,2252.0334,0.0,0.0,0.0,0.0011722214,0.0,0.0,False
Nov,3,1,7,10,Returning_Visitor,True,0.0,2720.5,0.0,0.0,705.0,0.0,0.0,0.2,0.0,1.0,True
Feb,1,2,3,9,Returning_Visitor,False,0.0,2629.5662,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Nov,8,1,1,1,Returning_Visitor,True,0.0,2720.5,24.0,2252.0334,704.28076,43171.234,0.0,0.0,0.0,1.0,False
May,8,12,4,13,Returning_Visitor,True,0.0,0.0,0.0,0.0,0.0,43171.234,0.2,0.0,0.0,1.0,False
Mar,1,2,9,2,Returning_Visitor,False,0.0,0.0,24.0,2155.0674,0.0,0.0,0.0,0.2,361.76373,1.0,False
Dec,2,2,9,1,Returning_Visitor,False,0.0,2720.5,24.0,2252.0334,7.0,43171.234,0.0,0.025,0.0,0.0,False
Nov,3,2,1,5,Returning_Visitor,False,0.0,2720.5,0.0,0.0,705.0,43171.234,0.2,0.0,0.0,0.0,True
Sep,1,9,4,1,Returning_Visitor,True,0.0,2720.5,0.0,0.0,0.0,43171.234,0.0,0.2,361.76373,0.0,False
May,8,9,5,20,Returning_Visitor,False,26.0,0.0,0.0,0.0,0.0,43171.234,0.2,0.0,361.76373,1.0,False
May,8,2,3,2,Returning_Visitor,True,0.0,41.053013,0.0,0.0,705.0,43171.234,0.0,0.0,361.76373,0.0,False
Dec,1,2,3,2,Returning_Visitor,True,0.0,0.0,0.0,2252.0334,0.0,43171.234,0.0,0.0,361.76373,1.0,True
Mar,1,5,7,3,Returning_Visitor,True,26.0,2720.5,0.0,0.0,705.0,43171.234,0.0,0.2,0.0,1.0,False
Nov,2,1,1,1,Returning_Visitor,False,0.0,2720.0703,24.0,2252.0334,0.0,0.0,0.2,0.2,361.76373,0.0,False
Mar,8,2,2,9,Returning_Visitor,False,0.0,2720.5,0.0,2252.0334,0.0,43171.234,0.0,0.2,361.76373,1.0,False
Dec,8,2,4,5,Returning_Visitor,True,0.0,0.0,0.0,2252.0334,705.0,0.0,0.2,0.0,0.0,1.0,False
Sep,3,2,1,4,Returning_Visitor,False,26.0,0.0,24.0,0.0,211.9746,43171.234,0.2,0.0,0.0,0.0,False
May,3,8,3,4,Returning_Visitor,False,0.0,0.0,0.0,2252.0334,0.0,0.0,0.2,0.2,361.76373,0.0,False
Nov,8,2,1,2,Returning_Visitor,False,0.0,2720.5,0.0,2252.0334,0.0,43171.234,0.0,0.2,0.0,1.0,False
May,7,5,1,5,Returning_Visitor,True,26.0,0.0,24.0,2252.0334,705.0,0.0,0.2,0.0,361.76373,0.0,False
Dec,2,4,9,6,Returning_Visitor,False,26.0,2720.5,0.0,2252.0334,705.0,0.0,0.2,0.2,361.76373,0.0,True
Nov,8,2,8,2,Returning_Visitor,True,0.0,0.0,0.0,0.0,0.0,43171.234,0.0,0.0,361.76373,1.0,True
Mar,4,2,7,2,Returning_Visitor,False,0.0,2720.5,0.0,0.0,705.0,0.0,0.0,0.0,0.0,1.0,False
Nov,2,2,1,2,Returning_Visitor,False,26.0,2720.5,0.0,0.0,0.0,0.0,0.2,0.0,361.76373,0.0,False
May,2,2,1,4,Returning_Visitor,False,0.0,2720.5,0.0,0.0,0.0,43171.234,0.2,0.0,0.0,1.0,False
May,3,1,4,4,New_Visitor,False,0.0,0.0,24.0,2252.0334,705.0,43171.234,0.2,0.2,0.0,0.0,False
May,1,2,4,3,Returning_Visitor,True,26.0,0.0,0.0,2252.0334,705.0,43171.234,0.0,0.0,0.0,0.0,False
Nov,8,9,1,11,Returning_Visitor,False,0.0,0.0,0.0,2252.0334,0.0,43171.234,0.2,0.0,361.76373,0.0,False
Oct,5,2,1,4,Returning_Visitor,True,26.0,0.0,0.0,2252.0334,0.0,0.0,0.0,0.2,0.0,1.0,False
Dec,8,2,7,5,Returning_Visitor,True,0.0,2720.5,0.0,0.0,0.0,43171.234,0.0,0.0,0.0,1.0,False
May,2,1,6,13,Returning_Visitor,True,0.0,0.0,24.0,2252.0334,705.0,43171.234,0.2,0.0,361.76373,1.0,False
Nov,8,2,8,2,Returning_Visitor,True,0.0,2720.5,24.0,2252.0334,0.0,43171.234,0.0,0.0,361.76373,1.0,False
Sep,2,2,3,3,New_Visitor,True,0.0,2720.5,24.0,0.0,0.0,43171.234,0.2,0.0,361.76373,0.0,False
Sep,8,4,4,3,Returning_Visitor,False,26.0,0.0,0.0,0.0,705.0,43171.234,0.2,0.0,361.76373,0.0,False
May,3,9,3,1,Returning_Visitor,False,0.0,0.0,0.0,0.0,705.0,0.0,0.2,0.0,0.0,1.0,False
Sep,1,2,1,5,Returning_Visitor,True,0.0,2720.5,24.0,0.0,0.0,43171.234,0.0,0.2,0.0,0.0,False
Nov,8,1,1,8,Returning_Visitor,False,0.0,0.0,24.0,1461.0052,705.0,0.0,0.2,0.0,361.76373,1.0,False
May,1,2,3,14,Returning_Visitor,True,0.0,2720.5,24.0,2252.0334,0.0,43171.234,0.2,0.2,361.76373,0.0,False
Oct,8,2,3,1,Returning_Visitor,True,15.809729,0.0,0.0,2252.0334,705.0,0.0,0.2,0.2,0.0,0.0,False
Mar,8,4,1,2,Returning_Visitor,False,0.0,2720.5,0.0,0.0,10.0,43171.234,0.2,0.0,0.0,1.0,False
Aug,1,2,1,8,Returning_Visitor,False,26.0,2720.5,24.0,2252.0334,0.0,0.0,0.2,0.03990561,0.0,0.0,False
Sep,2,4,8,1,Returning_Visitor,False,26.0,2720.5,0.0,0.0,705.0,14125.076,0.2,0.2,0.0,0.0,False
Oct,8,1,8,9,Returning_Visitor,True,26.0,0.0,23.383202,0.0,0.0,43171.234,0.2,0.0,0.0,1.0,False
