Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue
May,2,2,3,1,New_Visitor,True,7.0,140.4512,2.0,245.2148,9.0,1680.1731,0.0,0.014285714,28.272612,0.0,False
Jul,2,4,4,11,New_Visitor,True,3.0,0.0,2.0,0.0,68.0,432.2843,0.0,0.023539111,0.0,0.0,False
May,2,2,5,1,New_Visitor,False,4.0,195.97588,3.0,206.5871,29.0,520.3068,0.0,0.0125,0.0,0.0,False
May,2,2,1,2,Returning_Visitor,False,3.0,0.0,0.0,0.0,18.0,540.7364,0.0055382363,0.052100215,0.0,0.0,False
May,3,1,3,5,Returning_Visitor,False,1.0,22.022,2.0,32.026855,12.0,1059.8801,0.02723476,0.041666668,0.0,0.0,True
May,1,2,3,4,New_Visitor,False,0.0,0.0,2.0,0.0,16.0,779.12286,0.08961837,0.1,0.0,0.0,False
Sep,3,2,2,13,Returning_Visitor,True,5.0,0.0,1.0,0.0,43.0,1085.5527,0.0037111405,0.05421154,0.0,0.0,False
Jul,2,2,1,1,Returning_Visitor,False,0.0,0.0,1.0,56.30418,31.0,1003.1206,0.0,0.025998022,0.0,0.0,True
May,3,2,1,13,New_Visitor,False,2.0,0.0,0.0,0.0,15.0,139.10509,0.0,0.007142857,0.0,0.0,False
June,3,6,6,1,Returning_Visitor,False,1.0,247.76062,1.0,0.0,46.0,1638.2806,0.0,0.007003751,0.0,0.0,False
May,2,2,1,1,Returning_Visitor,True,5.0,0.0,0.0,0.0,15.0,1080.8926,0.0,0.031253133,0.0,0.0,False
Nov,2,2,3,1,Returning_Visitor,False,1.0,0.0,1.0,0.0,22.0,5574.371,0.0,0.017784743,0.0,0.0,False
Dec,3,1,1,4,Returning_Visitor,True,6.0,565.2074,0.0,0.0,22.0,1842.1603,0.0033547427,0.021587795,0.0,0.0,False
Jul,2,1,1,3,Returning_Visitor,False,1.0,0.0,2.0,0.0,11.0,783.4596,0.0,0.03333333,0.0,0.0,False
May,2,2,5,13,Returning_Visitor,True,1.0,0.0,0.0,0.0,64.0,799.076,0.0,0.026159035,0.0,0.0,True
Nov,2,2,2,2,Returning_Visitor,False,0.0,243.73767,0.0,0.0,24.0,1339.5901,0.02857183,0.029096214,0.0,0.0,True
Dec,1,1,1,1,Returning_Visitor,False,4.0,335.73395,2.0,0.0,31.0,1411.0955,0.05,0.01944361,14.276343,0.0,False
Nov,1,2,7,1,Returning_Visitor,False,9.0,5.00004,3.0,0.0,33.0,1368.4702,0.0,0.025,0.0,0.0,False
Dec,3,2,8,2,Returning_Visitor,True,2.0,7.691462,1.0,0.0,27.0,1464.1715,0.0050915643,0.023335515,0.0,0.0,False
May,2,2,3,3,Returning_Visitor,False,3.0,0.0,0.0,0.0,13.0,419.69073,0.0,0.044608492,0.0,0.0,False
Nov,2,1,1,8,Returning_Visitor,False,1.0,0.0,0.0,171.64363,73.0,2540.793,0.0,0.004166667,0.0,0.0,False
Jul,2,2,1,5,Returning_Visitor,False,2.0,0.0,1.0,0.0,93.0,3627.7424,0.0,0.018966548,0.0,0.0,True
May,2,2,3,3,Returning_Visitor,False,1.0,0.0,0.0,0.0,33.0,1255.9415,0.0125,0.022066657,0.0,0.0,False
Mar,3,2,1,2,Returning_Visitor,False,9.0,94.396255,0.0,0.0,40.0,518.2555,0.2,0.04,0.0,0.0,False
Dec,1,6,9,2,Returning_Visitor,False,5.0,64.529564,0.0,0.0,123.0,3388.1528,0.008417717,0.027777778,0.0,0.0,False
May,1,5,5,3,Returning_Visitor,False,3.0,0.0,0.0,35.302666,103.0,2447.566,0.01840221,0.017662875,13.094275,0.0,False
Nov,2,2,1,3,Returning_Visitor,True,5.0,70.42385,0.0,0.0,70.0,1697.09,0.0,0.032398004,44.374306,0.0,False
Oct,1,1,1,10,Returning_Visitor,False,2.0,0.0,0.0,0.0,13.0,727.2793,0.046319053,0.026269158,0.0,0.0,False
Nov,3,1,2,2,New_Visitor,False,0.0,0.0,2.0,0.0,30.0,657.1703,0.0666188,0.009449939,0.0,0.0,False
Nov,2,2,3,2,Returning_Visitor,False,2.0,0.0,0.0,0.0,36.0,1041.4315,0.0,0.025,0.0,0.0,False
Nov,3,2,1,2,Returning_Visitor,False,8.0,34.0,0.0,0.0,90.0,2620.3289,0.0,0.011019066,55.096397,0.0,False
Dec,2,1,1,3,New_Visitor,True,2.0,0.0,1.0,0.0,10.0,548.9122,0.0,0.0778599,0.0,0.0,False
Dec,1,6,1,10,New_Visitor,False,4.0,296.71948,1.0,0.0,16.0,1271.0045,0.0,0.013792369,0.0,0.0,False
Mar,3,4,3,5,Returning_Visitor,True,3.0,172.07802,0.0,0.0,20.0,348.6187,0.0,0.0039553423,0.0,0.0,False
Nov,2,2,4,1,Returning_Visitor,True,0.0,0.0,2.0,0.0,16.0,1136.2682,0.0,0.05076758,0.0,0.0,False
May,2,1,9,2,Returning_Visitor,False,0.0,0.0,3.0,0.0,7.0,12.0,0.009287589,0.15,0.0,0.0,True
