Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue
May,2,4,4,2,Returning_Visitor,True,1.0,0.0,0.0,0.0,12.0,319.04517,0.0,0.019143546,0.0,0.0,False
May,1,2,5,2,Returning_Visitor,False,0.0,46.390076,2.0,0.0,18.0,1977.6366,0.0,0.023404783,0.0,0.0,False
Nov,1,2,1,2,Returning_Visitor,False,7.0,331.49255,2.0,0.0,62.0,1376.8738,0.0,0.014285714,0.0,0.0,False
Nov,3,2,7,11,Returning_Visitor,False,7.0,441.89655,4.0,637.247,36.0,438.98874,0.0,0.010526316,0.0,0.0,True
Nov,2,2,1,3,Returning_Visitor,False,2.0,4.0404778,0.0,0.0,19.0,23.146599,0.012947795,0.2,0.0,0.0,False
May,2,2,1,2,Returning_Visitor,True,0.0,0.0,0.0,0.0,19.0,718.8404,0.0,0.018181818,0.0,0.0,False
Dec,2,2,1,3,Returning_Visitor,False,9.0,67.47359,4.0,486.1376,15.0,159.31767,0.0,0.010771311,0.0,0.0,True
Oct,3,5,3,1,Returning_Visitor,False,0.0,0.0,0.0,0.0,9.0,103.28148,0.028571429,0.06666667,0.0,0.0,False
Feb,2,2,8,1,Returning_Visitor,False,1.0,0.0,1.0,0.0,54.0,1658.1476,0.2,0.022222223,0.0,0.0,False
Jul,2,1,2,3,New_Visitor,False,7.0,110.62526,1.0,0.0,22.0,476.47418,0.015473999,0.06666667,101.22159,0.0,False
May,2,2,3,4,Returning_Visitor,True,3.0,0.0,0.0,0.0,14.0,187.97624,0.0,0.020197285,0.0,0.0,True
Dec,2,2,1,5,Returning_Visitor,False,0.0,0.0,0.0,0.0,15.0,2007.8826,0.0,0.006198661,26.45937,0.0,False
May,2,2,9,1,Returning_Visitor,False,0.0,0.0,0.0,0.0,7.0,314.76538,0.004495635,0.06666667,0.0,0.0,False
Feb,2,2,1,3,Returning_Visitor,False,4.0,0.0,0.0,0.0,30.0,575.13947,0.2,0.010341293,0.0,0.0,False
Mar,2,2,7,3,Returning_Visitor,True,10.0,0.0,0.0,0.0,78.0,893.7112,0.2,0.033624098,0.0,0.0,False
Mar,1,6,3,13,Returning_Visitor,False,10.0,845.1942,4.0,0.0,45.0,4442.0186,0.0,0.06603278,0.0,0.0,False
May,4,2,4,3,Returning_Visitor,True,7.0,0.0,2.0,0.0,18.0,953.1381,0.0,0.029984796,0.0,0.0,False
Oct,1,1,1,4,Returning_Visitor,False,4.0,1640.503,0.0,0.0,16.0,1492.3435,0.12,0.04377096,36.732758,0.0,False
Nov,1,2,3,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,19.0,1208.307,0.0,0.01904762,0.0,0.0,False
Aug,2,2,2,3,Returning_Visitor,False,6.0,0.0,4.0,0.0,14.0,143.4812,0.0,0.0031902601,58.381195,0.0,True
Oct,2,2,2,4,Returning_Visitor,False,5.0,0.0,1.0,0.0,104.0,2458.4834,0.0,0.009853185,0.0,0.0,False
Nov,2,2,1,1,Returning_Visitor,False,4.0,181.98138,0.0,0.0,26.0,1805.1532,0.0,0.061959162,0.0,0.0,False
May,2,2,4,2,Returning_Visitor,False,2.0,209.3498,2.0,7.0518327,46.0,1790.5779,0.0,0.011764706,0.0,0.0,False
Nov,2,1,9,3,Returning_Visitor,False,4.0,140.07538,1.0,0.0,58.0,6755.932,0.0,0.013459857,0.0,0.0,False
Nov,2,4,4,3,New_Visitor,False,0.0,0.0,2.0,0.0,38.0,391.87518,0.0,0.011930542,0.0,0.0,False
May,2,1,4,13,Returning_Visitor,False,8.0,1065.4552,2.0,0.0,69.0,9070.53,0.2,0.03127292,0.0,0.0,False
Sep,2,2,4,1,Returning_Visitor,False,0.0,0.0,0.0,0.0,65.0,6791.548,0.05,0.030411411,77.297714,0.0,False
May,4,2,1,2,Returning_Visitor,True,2.0,0.0,0.0,0.0,15.0,539.1549,0.005882353,0.05,0.0,0.0,False
May,2,4,1,1,Returning_Visitor,False,0.0,0.0,1.0,0.0,9.0,289.86813,0.0,0.0461793,0.0,0.0,False
May,2,2,7,2,Returning_Visitor,False,7.0,1.6438179,0.0,0.0,108.0,2083.6133,0.0,0.03333333,0.0,0.0,False
Mar,2,1,7,2,Returning_Visitor,True,1.0,0.0,0.0,247.01599,28.0,317.41025,0.005682665,0.027272727,0.0,0.0,False
Aug,2,2,3,8,Returning_Visitor,True,4.0,140.31924,3.0,638.35974,63.0,2767.8074,0.2,0.03670697,0.0,0.0,False
May,2,2,1,1,Returning_Visitor,False,7.0,948.79926,1.0,0.0,8.0,86.025894,0.0,0.059432372,0.0,0.0,False
May,4,1,3,2,New_Visitor,False,13.0,1273.3387,0.0,0.0,92.0,6837.729,0.0,0.018181818,0.0,0.0,False
May,2,2,1,3,New_Visitor,False,1.0,32.36027,0.0,0.0,19.0,278.96625,0.0,0.01875,0.0,0.0,False
Mar,2,5,1,3,Returning_Visitor,True,6.0,114.063705,0.0,0.0,49.0,2476.7876,0.011111111,0.011111111,0.0,0.0,False
Dec,2,2,1,13,Returning_Visitor,False,4.0,43.15914,4.0,0.0,37.0,2188.864,0.008222553,0.025768999,0.0,0.0,False
Nov,2,2,1,2,Returning_Visitor,True,1.0,0.0,0.0,0.0,59.0,1203.371,0.0,0.014808983,0.0,0.0,False
May,2,1,3,3,Returning_Visitor,False,0.0,0.0,1.0,0.0,32.0,3884.7305,0.0,0.015165479,0.0,0.0,False
Mar,8,2,2,3,Returning_Visitor,False,4.0,0.0,0.0,0.0,27.0,732.53143,0.0,0.04217961,0.0,0.0,False
Nov,2,1,2,4,Returning_Visitor,False,6.0,0.0,1.0,0.0,36.0,4258.6636,0.0,0.0031431657,0.0,0.0,False
May,1,2,1,2,Returning_Visitor,False,0.0,1313.6259,5.0,27.74917,60.0,2441.792,0.2,0.06411902,170.37718,0.0,False
Nov,3,2,6,2,Returning_Visitor,True,9.0,618.9015,0.0,0.0,19.0,1048.8784,0.0,0.023042707,0.0,0.0,False
May,2,5,1,3,Returning_Visitor,False,4.0,20.0,0.0,0.0,5.0,266.497,0.0,0.037784975,0.0,0.0,False
Mar,1,4,3,3,Returning_Visitor,False,8.0,213.0365,1.0,0.0,33.0,910.21124,0.00055911246,0.016261753,0.0,0.0,False
May,2,4,1,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,15.0,224.52615,0.0,0.1011003,0.0,0.0,False
May,3,2,3,1,Returning_Visitor,False,0.0,0.0,0.0,0.0,16.0,426.70163,0.02663011,0.07903253,0.0,0.0,False
Jul,1,2,6,3,Returning_Visitor,False,8.0,1608.7969,3.0,728.2665,51.0,1170.4652,0.2,0.06666667,36.71117,0.0,False
May,1,4,1,2,Returning_Visitor,False,8.0,135.15393,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,False
May,1,2,1,4,Returning_Visitor,False,2.0,0.0,0.0,0.0,40.0,778.233,0.0,0.017567744,0.0,0.0,False
May,1,2,4,7,Returning_Visitor,False,0.0,0.0,0.0,0.0,49.0,3411.668,0.04,0.0125,0.0,0.0,False
Dec,8,1,4,1,Returning_Visitor,False,9.0,1632.11,6.0,1403.0658,12.0,440.69513,0.0,0.015384615,0.0,0.0,False
Sep,2,4,9,2,Returning_Visitor,True,2.0,48.78961,0.0,0.0,24.0,1120.6385,0.0,0.016099706,0.0,0.0,False
Dec,3,1,1,1,Returning_Visitor,False,0.0,0.0,0.0,29.482635,4.0,112.81265,0.1,0.1,0.0,0.0,False
Jul,2,1,7,5,New_Visitor,True,1.0,0.0,0.0,0.0,8.0,391.90982,0.0,0.022962663,0.0,0.0,False
Feb,3,4,1,4,Returning_Visitor,False,0.0,0.0,0.0,0.0,18.0,1138.7947,0.0048821727,0.029299268,0.0,0.0,False
Jul,2,2,1,1,Returning_Visitor,False,7.0,0.0,0.0,0.0,195.0,5042.472,0.0,0.016666668,0.0,0.0,False
Nov,2,2,1,4,Returning_Visitor,False,3.0,0.0,0.0,0.0,2.0,11.818705,0.0,0.08723254,0.0,0.0,False
Jul,4,1,1,3,Returning_Visitor,False,2.0,0.0,0.0,0.0,32.0,1257.5593,0.0,0.019133773,0.0,0.0,False
Nov,2,2,1,2,Returning_Visitor,False,4.0,0.0,0.0,0.0,47.0,1369.4316,0.0,0.025532614,11.726156,0.0,False
Sep,3,2,8,1,Returning_Visitor,False,1.0,0.0,0.0,0.0,13.0,109.061646,0.2,0.2,16.165623,0.0,False
Nov,2,4,4,3,New_Visitor,True,3.0,0.0,0.0,0.0,79.0,2669.1653,0.0,0.015111242,46.790096,0.0,True
Nov,2,2,3,3,Returning_Visitor,True,13.0,345.30692,0.0,0.0,10.0,387.3608,0.0,0.0074114734,0.0,0.0,False
Mar,2,2,1,2,Returning_Visitor,False,5.0,394.27847,0.0,0.0,49.0,2273.54,0.0,0.015559364,0.0,0.0,False
Dec,3,2,2,1,Returning_Visitor,False,15.0,1527.9744,1.0,0.0,26.0,884.47284,0.010526316,0.02380643,0.0,0.0,False
Mar,2,2,1,3,Returning_Visitor,False,1.0,0.0,0.0,0.0,32.0,1158.5431,0.2,0.049312524,0.0,1.0,False
May,4,2,2,20,Returning_Visitor,False,2.0,0.0,0.0,0.0,12.0,208.37038,0.0,0.064477436,0.0,0.0,False
Dec,4,2,2,1,Returning_Visitor,True,1.0,0.0,0.0,0.0,20.0,395.87354,0.0,0.2,32.04782,0.0,False
May,1,10,1,3,Returning_Visitor,False,0.0,0.0,0.0,0.0,80.0,1654.4572,0.2,0.020508299,0.0,0.0,False
Nov,2,1,3,3,Returning_Visitor,False,5.0,99.88781,0.0,96.33751,79.0,1430.5165,0.0,0.03900082,98.03975,0.0,False
Dec,1,1,1,8,Returning_Visitor,False,0.0,0.0,4.0,0.0,22.0,744.6082,0.0,0.02,0.0,0.0,False
May,2,2,8,1,Returning_Visitor,False,1.0,0.0,0.0,0.0,25.0,624.33844,0.0,0.02697841,0.0,0.0,False
Nov,3,2,2,19,Returning_Visitor,True,9.0,1514.9215,0.0,0.0,62.0,3044.3933,0.004347826,0.020220999,0.0,0.0,True
Mar,3,1,2,5,Returning_Visitor,False,1.0,0.0,0.0,0.0,10.0,830.9097,0.0,0.016666668,0.0,0.0,False
May,1,1,1,2,New_Visitor,False,2.0,0.0,0.0,0.0,21.0,373.81842,0.0,0.027272727,0.0,0.0,False
May,1,2,4,1,Returning_Visitor,False,8.0,125.70997,1.0,0.0,48.0,1520.8977,0.059401393,0.03,0.0,0.0,True
Nov,1,2,1,2,Returning_Visitor,False,3.0,0.0,3.0,0.0,47.0,683.1732,0.007692308,0.019301701,0.0,0.0,False
Mar,2,2,3,2,Returning_Visitor,False,3.0,0.0,2.0,0.0,63.0,3677.627,0.046267476,0.0073047047,0.0,0.0,True
May,2,2,1,4,Returning_Visitor,False,9.0,81.79821,0.0,0.0,30.0,1339.2518,0.0,0.011111111,0.0,0.0,True
Oct,2,2,2,2,Returning_Visitor,False,2.0,692.50836,0.0,0.0,14.0,20.89221,0.004166667,0.009154078,0.0,0.0,True
May,1,1,1,1,Returning_Visitor,True,2.0,509.1017,0.0,0.0,49.0,2099.0693,0.0,0.010366854,39.378246,0.0,False
Mar,2,8,2,2,Returning_Visitor,False,3.0,0.0,0.0,0.0,61.0,2749.4585,0.0,0.0,0.0,0.0,False
Sep,1,2,7,2,Returning_Visitor,False,3.0,0.0,4.0,0.0,52.0,1237.9971,0.010526316,0.028571429,0.0,0.0,False
Aug,8,2,2,3,Returning_Visitor,False,2.0,0.0,0.0,0.0,13.0,443.61465,0.0,0.05,0.0,0.8,False
May,2,2,3,1,Returning_Visitor,False,1.0,0.0,2.0,30.642744,17.0,432.08728,0.0,0.011737293,0.0,0.0,False
May,8,1,4,2,Returning_Visitor,False,1.0,312.56152,1.0,0.0,11.0,528.06964,0.0032989038,0.022239413,0.0,0.0,False
May,2,2,3,2,Returning_Visitor,False,2.0,0.0,0.0,0.0,44.0,1691.7836,0.015781915,0.058294132,0.0,0.0,True
Sep,1,2,4,2,New_Visitor,True,6.0,1613.7151,4.0,0.0,97.0,3053.1025,0.0049508912,0.007879451,0.0,0.0,False
May,8,2,3,10,New_Visitor,False,8.0,172.34824,1.0,0.0,27.0,313.32465,0.2,0.062978506,0.0,0.0,True
May,1,2,1,1,Returning_Visitor,False,0.0,0.9555834,1.0,0.0,11.0,146.48914,0.2,0.036319338,0.0,0.0,False
May,8,2,3,2,Returning_Visitor,False,5.0,49.30129,0.0,0.0,49.0,2907.9602,0.0,0.017629964,0.0,0.0,True
Nov,2,2,8,4,Returning_Visitor,False,2.0,0.0,0.0,0.0,31.0,578.6653,0.0,0.02555275,0.0,0.0,False
Dec,1,2,5,4,Returning_Visitor,False,2.0,100.40485,0.0,0.0,9.0,833.9258,0.05,0.04241854,0.0,0.0,True
May,1,2,2,4,Returning_Visitor,False,4.0,282.58563,0.0,0.0,7.0,125.55358,0.0,0.04,0.0,0.0,False
May,1,1,9,11,Returning_Visitor,False,1.0,0.0,2.0,0.0,68.0,2006.0017,0.0,0.027244268,0.0,0.0,False
Dec,1,2,7,4,New_Visitor,False,2.0,0.0,0.0,0.0,13.0,551.73724,0.0,0.014823745,0.0,0.0,False
May,2,2,9,1,New_Visitor,False,3.0,810.9374,5.0,1544.3553,59.0,2096.51,0.0,0.043158457,0.0,0.0,True
Nov,3,4,6,2,Returning_Visitor,False,13.0,373.341,1.0,0.0,203.0,10218.242,0.0,0.033991344,0.0,0.0,False
