Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue
Nov,3,5,7,2,Returning_Visitor,True,0.0,120.49604,0.0,0.0,6.0,62.120655,0.0,0.01,0.0,0.0,False
Mar,8,2,1,20,Returning_Visitor,False,2.0,0.0,0.0,0.0,41.0,773.27246,0.0,0.010212348,0.0,0.0,False
Dec,3,2,6,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,7.0,74.95703,0.013226199,0.028571429,0.0,0.0,False
Nov,4,2,7,8,Returning_Visitor,True,2.0,0.0,1.0,207.8555,110.0,3648.7336,0.0,0.0060650543,0.0,0.0,False
Mar,2,4,6,2,New_Visitor,False,0.0,0.0,0.0,0.0,17.0,277.6901,0.0,0.01904762,0.0,0.0,True
Mar,2,2,1,3,Returning_Visitor,False,0.0,0.0,0.0,0.0,12.0,437.5031,0.0,0.015384615,0.0,0.0,True
June,3,10,4,8,Returning_Visitor,True,2.0,0.0,0.0,0.0,24.0,1391.6102,0.0,0.02,0.0,0.0,False
May,2,2,1,1,Returning_Visitor,False,0.0,323.3602,0.0,0.0,24.0,2333.2014,0.008715253,0.022222223,0.0,0.0,False
Mar,2,2,1,2,Returning_Visitor,False,7.0,293.39688,0.0,0.0,74.0,3332.5806,0.0,0.004128721,0.0,0.0,False
May,2,1,3,1,Returning_Visitor,True,1.0,42.039093,0.0,0.0,25.0,1720.6906,0.0,0.0302318,0.0,0.0,False
May,1,6,9,1,Returning_Visitor,False,11.0,178.62108,0.0,0.0,70.0,1822.2458,0.0,0.02,0.0,0.0,False
Dec,3,5,8,1,New_Visitor,False,0.0,0.0,0.0,0.0,20.0,529.9409,0.0,0.02102491,0.0,0.0,False
May,2,4,9,11,Returning_Visitor,False,4.0,43.37738,0.0,0.0,7.0,253.16216,0.0,0.025,0.0,0.0,False
May,3,2,2,5,Returning_Visitor,False,1.0,0.0,0.0,0.0,22.0,403.33908,0.0,0.03333333,0.0,0.0,False
May,2,5,4,2,Returning_Visitor,False,0.0,0.0,1.0,0.0,69.0,568.0657,0.0020684924,0.03333333,17.878399,1.0,True
May,2,1,9,10,Returning_Visitor,False,2.0,0.0,1.0,0.0,87.0,3390.6233,0.0,0.0075070215,0.0,0.0,False
Dec,1,2,1,1,Returning_Visitor,False,0.0,0.0,0.0,0.0,63.0,1181.3375,0.007777741,0.0122911325,0.0,0.0,False
Nov,1,2,9,2,Returning_Visitor,False,2.0,0.0,0.0,0.0,88.0,2829.3809,0.0,0.00625,100.78626,0.0,False
Nov,2,1,4,1,Returning_Visitor,False,0.0,0.0,4.0,0.0,50.0,1796.8225,0.0,0.039017923,0.0,0.0,False
Dec,2,2,1,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.058474924,0.0,0.0,False
Nov,2,2,4,2,New_Visitor,False,6.0,144.36116,3.0,90.47364,15.0,611.9117,0.028571429,0.028571429,88.88069,0.0,False
Nov,2,2,4,3,Returning_Visitor,False,0.0,0.0,0.0,0.0,30.0,1112.5687,0.0,0.03333333,0.0,0.0,False
Feb,3,2,9,2,Returning_Visitor,False,0.0,0.0,1.0,0.0,30.0,2158.7188,0.0,0.03444444,0.0,1.0,False
May,2,2,1,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,23.0,769.8781,0.012743525,0.04717614,0.0,0.0,False
May,2,2,3,13,Returning_Visitor,False,7.0,0.0,0.0,0.0,5.0,476.9102,0.0018459782,0.14014433,0.0,1.0,False
May,1,2,1,2,Returning_Visitor,True,3.0,42.17808,0.0,0.0,30.0,1158.3531,0.0,0.015801707,0.0,0.0,False
Oct,3,2,1,1,Returning_Visitor,False,4.0,0.0,0.0,0.0,19.0,165.1305,0.0,0.007905243,0.0,0.0,False
Sep,8,2,3,13,Returning_Visitor,False,0.0,0.0,2.0,0.0,6.0,339.92755,0.0,0.2,0.0,0.0,True
Mar,3,1,3,3,Returning_Visitor,False,0.0,0.0,1.0,0.0,9.0,197.62318,0.022222223,0.04,0.0,0.0,False
May,2,2,2,3,New_Visitor,False,3.0,0.0,0.0,0.0,17.0,346.54083,0.018181818,0.07470883,0.0,0.0,True
May,2,2,2,11,Returning_Visitor,False,2.0,170.81564,0.0,0.0,39.0,2432.6843,0.016666668,0.06666667,118.63077,0.0,False
May,2,1,4,13,Returning_Visitor,False,1.0,0.0,0.0,0.0,18.0,308.7239,0.0,0.06666667,0.0,0.0,False
Aug,3,2,1,2,Returning_Visitor,False,0.0,0.0,6.0,10.0,92.0,2159.222,0.005614775,0.0128529575,0.0,0.0,True
May,2,5,4,3,Returning_Visitor,False,7.0,495.90057,3.0,0.0,75.0,2082.903,0.0,0.009521149,0.0,0.0,False
Mar,3,4,1,2,Returning_Visitor,True,1.0,0.0,0.0,0.0,26.0,1277.5659,0.2,0.05,0.0,0.0,False
Oct,8,2,7,2,Returning_Visitor,False,1.0,83.69153,0.0,0.0,42.0,4294.4106,0.0,0.009523649,0.0,0.0,False
Mar,2,2,3,2,Returning_Visitor,False,12.0,0.0,4.0,0.0,23.0,1144.02,0.0,0.013397439,0.0,0.0,False
May,1,2,6,1,Returning_Visitor,True,0.0,45.725975,2.0,0.0,39.0,1633.0372,0.02,0.04,0.0,0.0,False
May,3,2,3,2,Returning_Visitor,True,3.0,1065.308,0.0,0.0,38.0,3371.15,0.0,0.014020459,0.0,0.0,False
May,3,2,4,19,Returning_Visitor,True,2.0,53.58291,0.0,0.0,22.0,1672.5,0.06832828,0.0125,11.852057,1.0,False
Oct,1,2,1,2,Returning_Visitor,False,6.0,584.7326,0.0,0.0,81.0,1228.5685,0.0,0.014715231,0.0,0.0,False
