Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue
Dec,2,2,1,6,Returning_Visitor,True,0.0,0.0,1.0,0.0,20.0,1255.4014,0.0,0.014464027,0.0,0.0,False
Dec,3,2,1,4,Returning_Visitor,False,1.0,0.0,24.0,2252.0334,564.0,43171.234,0.0,0.0,0.0,0.0,False
May,4,2,1,2,Returning_Visitor,False,2.0,0.0,0.0,0.0,20.0,867.69617,0.0,0.0242126,0.0,0.0,False
Sep,2,2,9,13,Returning_Visitor,False,0.0,0.0,24.0,0.0,705.0,0.0,0.2,0.2,0.0,1.0,False
Nov,2,1,3,6,Returning_Visitor,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,False
Sep,3,2,7,3,Returning_Visitor,False,26.0,2720.5,24.0,2252.0334,91.0,14779.336,0.0,0.0,361.76373,0.0,True
Nov,2,2,7,9,Returning_Visitor,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,False
Mar,2,9,3,4,Returning_Visitor,True,0.0,0.0,5.0,0.0,705.0,386.3197,0.0,0.0,0.0,1.0,False
June,2,2,3,2,Returning_Visitor,False,26.0,2720.5,5.0,0.0,666.0,1778.53,0.0,0.0375,361.76373,0.0,False
May,2,2,2,10,Returning_Visitor,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,False
Nov,2,3,4,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,235.0,43171.234,0.0,0.00625,0.0,0.0,False
Nov,1,9,8,1,Returning_Visitor,False,26.0,2720.5,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,0.0,False
May,3,9,2,4,Returning_Visitor,True,26.0,0.0,24.0,2252.0334,0.0,8524.897,0.2,0.2,0.0,1.0,False
Nov,2,5,1,2,New_Visitor,False,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,361.76373,0.0,False
Mar,2,6,1,2,Returning_Visitor,False,26.0,2720.5,0.0,0.0,1.0,43171.234,0.0,0.03333333,361.76373,0.0,True
May,2,2,1,1,Returning_Visitor,True,22.0,2720.5,0.0,0.0,16.0,2353.2556,0.0,0.012351717,0.0,1.0,False
Jul,1,9,1,11,Returning_Visitor,False,0.0,0.0,24.0,0.0,705.0,0.0,0.2,0.2,361.76373,0.0,False
Nov,8,1,2,3,Returning_Visitor,False,0.0,0.0,0.0,0.0,705.0,43171.234,0.0,0.0,0.0,1.0,False
Nov,2,2,9,5,Returning_Visitor,False,0.0,2720.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
May,2,2,3,3,New_Visitor,False,1.0,0.0,1.0,0.0,39.0,1209.6147,0.009864666,0.008333333,0.0,0.0,False
Nov,2,1,4,1,Returning_Visitor,False,26.0,0.0,24.0,2252.0334,705.0,43171.234,0.0,0.0,361.76373,0.0,True
Dec,8,2,1,2,Returning_Visitor,False,26.0,2720.5,24.0,0.0,700.0,0.0,0.0,0.2,361.509,1.0,False
Sep,2,1,1,3,Returning_Visitor,False,0.0,0.0,24.0,2252.0334,705.0,0.0,0.2,0.2,0.0,1.0,False
Nov,3,2,3,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.0,False
Feb,1,2,3,3,Returning_Visitor,False,26.0,2720.5,7.0,247.08936,518.0,0.0,0.0,0.2,0.0,1.0,False
Sep,8,1,1,4,Returning_Visitor,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,361.76373,0.0,True
Dec,1,1,9,1,Returning_Visitor,False,26.0,2720.5,0.0,2252.0334,702.0,43171.234,0.2,0.2,0.0,1.0,True
May,1,1,9,2,Returning_Visitor,False,26.0,2720.5,24.0,2252.0334,705.0,0.0,0.2,0.2,0.0,1.0,False
Nov,2,5,3,8,Returning_Visitor,False,23.0,2720.5,24.0,2252.0334,0.0,0.0,0.0,0.0,0.0,0.0,False
Jul,1,4,3,2,Returning_Visitor,True,0.0,0.0,0.0,2228.2334,393.0,6750.6636,0.2,0.0070218453,0.0,0.0,True
May,4,2,3,11,Returning_Visitor,False,26.0,2720.5,0.0,0.0,277.0,0.0,0.2,0.2,0.0,0.0,False
Dec,2,2,2,2,Returning_Visitor,False,26.0,0.0,0.0,0.0,705.0,0.0,0.2,0.2,0.0,0.0,False
Jul,2,6,9,3,Returning_Visitor,True,0.0,0.0,0.0,0.0,700.0,43171.234,0.2,0.0,361.76373,0.0,False
