Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Revenue
Nov,2,4,1,8,Returning_Visitor,False,0.0,2720.5,24.0,0.0,702.65906,0.0,0.0,0.2,361.76373,0.0,False
Oct,3,1,3,1,Returning_Visitor,False,26.0,2720.5,0.0,0.0,705.0,43171.234,0.2,0.2,0.0,0.0,False
May,2,2,1,13,Returning_Visitor,False,0.0,0.0,24.0,2252.0334,705.0,0.0,0.2,0.2,0.0,0.0,False
Feb,2,4,8,9,Returning_Visitor,True,26.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,False
Nov,2,2,4,2,Other,False,0.0,0.0,0.0,2252.0334,705.0,43171.234,0.0,0.02969601,0.0,1.0,False
Nov,7,2,6,10,New_Visitor,True,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
June,5,3,4,6,Returning_Visitor,False,26.0,2720.5,24.0,2252.0334,705.0,43171.234,0.2,0.2,0.0,0.0,False
Dec,3,10,7,8,Returning_Visitor,True,26.0,0.0,0.0,2252.0334,705.0,43171.234,0.0,0.0,0.0,1.0,False
May,2,2,1,2,Returning_Visitor,False,26.0,2720.5,18.03863,2252.0334,705.0,0.0,0.2,0.2,0.0,1.0,False
Oct,1,1,9,5,New_Visitor,False,26.0,2720.5,4.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,False
May,3,2,3,4,Returning_Visitor,True,0.0,0.0,24.0,2252.0334,705.0,43171.234,0.0,0.0,0.0,1.0,False
Aug,6,8,1,19,Returning_Visitor,False,0.0,0.0,0.0,0.0,705.0,43171.234,0.2,0.2,0.0,0.0,False
Nov,3,10,4,11,Returning_Visitor,True,26.0,0.0,24.0,2252.0334,705.0,43171.234,0.2,0.0,361.76373,1.0,False
Aug,3,7,9,11,New_Visitor,True,26.0,0.0,24.0,0.0,0.0,43171.234,0.2,0.0,0.0,0.0,False
Dec,1,2,4,5,Other,True,0.0,0.0,0.0,2252.0334,705.0,43171.234,0.0,0.2,0.0,1.0,False
Nov,1,1,1,3,New_Visitor,False,26.0,0.0,24.0,2252.0334,705.0,0.0,0.2,0.0,361.76373,0.0,True
May,2,2,4,15,Returning_Visitor,False,0.0,0.0,24.0,2252.0334,705.0,0.0,0.2,0.2,361.76373,1.0,False
Nov,7,2,5,13,New_Visitor,False,0.0,0.0,24.0,2252.0334,705.0,43171.234,0.0,0.2,361.76373,1.0,True
Oct,3,12,1,9,New_Visitor,False,20.36983,2720.5,24.0,2252.0334,705.0,43171.234,0.0,0.0,0.0,1.0,False
Aug,1,11,4,16,Returning_Visitor,False,0.0,0.0,24.0,2252.0334,0.0,43171.234,0.0,0.2,361.76373,0.0,True
Nov,2,2,2,2,Returning_Visitor,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,361.76373,0.0,False
Nov,2,2,7,10,Returning_Visitor,True,0.0,2720.5,0.0,0.0,705.0,43171.234,0.2,0.0,0.0,1.0,False
June,7,1,7,15,Returning_Visitor,False,0.0,2720.5,24.0,0.0,0.0,43171.234,0.0,0.2,0.0,1.0,False
May,2,2,6,1,Returning_Visitor,False,0.0,0.0,0.0,2213.5415,0.0,43171.234,0.2,0.2,361.76373,1.0,False
Dec,4,2,2,11,New_Visitor,False,16.0,2720.5,24.0,0.0,0.0,43171.234,0.2,0.0,0.0,0.0,False
Nov,1,1,3,1,Returning_Visitor,False,26.0,2720.5,24.0,2252.0334,705.0,43171.234,0.2,0.0,0.0,0.0,False
Feb,3,2,2,4,Returning_Visitor,False,0.0,2720.5,24.0,2252.0334,182.81404,23244.523,0.2,0.2,0.0,0.0,False
Mar,2,2,1,2,Returning_Visitor,False,26.0,2720.5,0.0,0.0,0.0,43171.234,0.0,0.0,0.0,0.0,False
Nov,3,1,3,19,Returning_Visitor,True,26.0,0.0,24.0,2252.0334,0.0,43171.234,0.2,0.2,361.76373,1.0,False
Jul,3,8,3,5,Other,False,0.0,0.0,24.0,0.0,705.0,43171.234,0.2,0.2,361.76373,1.0,False
Dec,1,2,1,4,Returning_Visitor,True,0.0,2720.5,0.0,0.0,705.0,0.0,0.2,0.2,0.0,1.0,False
Sep,1,10,5,19,Other,True,26.0,0.0,24.0,2252.0334,705.0,43171.234,0.2,0.2,361.76373,1.0,False
Mar,1,8,3,1,New_Visitor,False,0.0,2720.5,0.0,1006.89087,705.0,43171.234,0.2,0.2,0.0,1.0,False
Dec,1,8,4,2,Returning_Visitor,True,0.0,2720.5,24.0,2252.0334,705.0,43171.234,0.0,0.0,361.76373,0.6,False
May,3,12,8,17,Returning_Visitor,False,26.0,2720.5,24.0,2252.0334,705.0,43171.234,0.2,0.0,361.76373,1.0,False
Mar,5,3,4,1,Other,False,26.0,0.0,24.0,2252.0334,0.0,43171.234,0.2,0.0,361.76373,0.0,True
Dec,2,8,7,7,Returning_Visitor,True,26.0,2720.5,0.0,2252.0334,705.0,43171.234,0.0,0.0,361.76373,0.0,True
Dec,1,9,2,20,Returning_Visitor,True,26.0,2720.5,0.0,2252.0334,0.0,43171.234,0.0,0.2,0.0,0.0,True
Oct,1,8,9,1,New_Visitor,True,0.0,0.0,24.0,0.0,705.0,43171.234,0.2,0.0,361.76373,0.0,True
May,1,1,4,4,Returning_Visitor,False,26.0,2720.5,0.0,2252.0334,0.0,43171.234,0.0,0.0,0.0,1.0,False
May,1,5,2,2,New_Visitor,False,0.0,0.0,24.0,0.0,0.0,7665.4424,0.0,0.2,361.76373,0.0,True
Dec,2,8,1,5,New_Visitor,False,0.0,0.0,0.0,2252.0334,705.0,0.0,0.0,0.2,0.0,0.0,False
Dec,8,2,1,1,Other,False,26.0,0.0,24.0,2252.0334,705.0,43171.234,0.2,0.2,361.76373,1.0,False
Dec,2,2,3,8,Returning_Visitor,False,26.0,0.0,0.0,2252.0334,0.0,43171.234,0.0,0.2,116.55176,1.0,True
Dec,5,13,7,9,Returning_Visitor,True,0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.2,361.76373,0.0,True
May,6,2,1,17,Returning_Visitor,True,0.0,0.0,24.0,2252.0334,705.0,43171.234,0.2,0.0,0.0,1.0,False
Mar,2,2,7,2,New_Visitor,True,0.0,0.0,0.0,0.0,704.7426,43171.234,0.0,0.0,0.0,1.0,False
Nov,2,7,9,13,Other,False,26.0,2720.5,0.0,2252.0334,705.0,0.0,0.0,0.2,361.76373,1.0,False
Mar,2,2,7,2,New_Visitor,False,0.0,2720.5,0.0,2252.0334,83.50949,43171.234,0.0,0.2,361.76373,0.0,True
Nov,1,3,9,7,Returning_Visitor,False,26.0,2720.5,24.0,0.0,705.0,43171.234,0.0,0.2,361.76373,1.0,False
Dec,3,5,2,4,Other,False,26.0,2720.5,24.0,0.0,705.0,43171.234,0.2,0.2,0.0,0.0,True
Mar,1,12,8,5,New_Visitor,False,0.0,0.0,0.0,0.0,0.0,43171.234,0.0,0.2,0.0,1.0,False
Aug,1,3,2,14,New_Visitor,True,0.0,2720.5,11.265695,0.0,705.0,0.0,0.0,0.2,0.0,1.0,True
May,1,8,5,19,Other,False,0.0,0.0,24.0,0.0,705.0,0.0,0.0,0.2,361.76373,1.0,False
June,8,2,1,2,New_Visitor,False,0.0,0.0,0.0,2252.0334,0.0,43171.234,0.0,0.2,0.0,0.0,False
May,3,2,4,18,New_Visitor,True,0.0,2720.5,24.0,0.0,0.0,43171.234,0.2,0.2,0.0,0.0,True
Oct,1,2,6,20,Other,False,0.0,2720.5,24.0,0.0,705.0,43171.234,0.0,0.0,0.0,0.0,False
Sep,7,3,2,17,Returning_Visitor,True,0.0,0.0,24.0,2252.0334,0.0,43171.234,0.2,0.0,0.0,0.0,True
Jul,3,9,8,19,Other,False,26.0,2720.5,24.0,2252.0334,0.0,42861.164,0.2,0.2,361.76373,1.0,False
Nov,3,3,4,1,Returning_Visitor,False,0.0,2720.5,0.0,2252.0334,0.0,0.0,0.2,0.0,361.76373,0.0,False
May,7,11,7,17,Other,False,26.0,2720.5,24.0,0.0,705.0,43171.234,0.2,0.2,0.0,1.0,False
May,3,7,1,3,Returning_Visitor,False,26.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,False
Nov,4,5,1,1,Other,True,26.0,0.0,0.0,2252.0334,0.0,43171.234,0.2,0.0,0.0,0.0,False
Dec,1,6,6,4,New_Visitor,True,26.0,2720.5,24.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,True
May,3,12,1,1,Returning_Visitor,True,26.0,0.0,24.0,2252.0334,705.0,0.0,0.0,0.2,0.0,0.0,False
May,2,2,6,2,Returning_Visitor,False,26.0,0.0,24.0,2252.0334,0.0,43171.234,0.0,0.0,357.1639,1.0,False
May,1,12,3,17,New_Visitor,True,26.0,2720.5,0.0,0.0,0.0,0.0,0.0,0.0,361.76373,1.0,False
Aug,2,13,4,17,Other,True,0.0,0.0,0.0,2252.0334,0.0,0.0,0.2,0.0,0.0,0.0,False
Dec,8,2,7,15,Returning_Visitor,False,0.0,2720.5,0.0,2252.0334,705.0,43171.234,0.0,0.2,361.76373,0.0,True
Dec,2,2,2,2,New_Visitor,False,0.0,0.0,8.591943,0.0,705.0,0.0,0.2,0.0,321.4609,0.0,False
Sep,2,2,2,6,New_Visitor,False,0.0,2720.5,0.0,2252.0334,0.0,43171.234,0.0,0.0,361.76373,1.0,True
Nov,5,1,3,1,New_Visitor,False,0.0,2718.0745,24.0,0.0,0.0,43171.234,0.0,0.0,361.76373,0.0,False
Feb,1,1,3,1,Returning_Visitor,False,26.0,2720.5,0.0,0.0,0.0,43171.234,0.2,0.0,0.0,1.0,False
Nov,3,4,1,13,Returning_Visitor,False,26.0,0.0,0.0,2252.0334,705.0,43171.234,0.0,0.2,0.0,1.0,False
Oct,3,1,1,13,Returning_Visitor,False,0.0,0.0,24.0,2252.0334,705.0,0.0,0.2,0.2,361.76373,1.0,False
Oct,3,2,1,2,Returning_Visitor,False,0.0,0.0,24.0,0.0,705.0,0.0,0.2,0.0,0.0,0.0,False
Nov,6,3,1,5,New_Visitor,False,0.0,2720.5,0.0,0.0,700.0696,0.0,0.0,0.0,0.0,0.0,False
May,4,1,1,2,Returning_Visitor,True,0.0,0.0,24.0,2252.0334,0.0,43171.234,0.2,0.2,361.76373,0.0,True
May,3,12,1,1,Returning_Visitor,False,26.0,2720.5,24.0,2252.0334,705.0,36630.22,0.0,0.2,0.0,0.0,True
May,3,13,7,9,New_Visitor,True,0.0,2720.5,1.0,0.0,0.0,12412.672,0.0,0.0,361.76373,1.0,False
